word,__sum_candidate
"1,1mi",1
30bi,1
7milhões,1
abacates,1
abandonaríamos,1
abandono,2
abastecem,1
abastecimento,1
abbraccio,1
abençoa,1
abençoe,4
aberta,1
aberto,4
abertos,2
abertura,6
abordados,1
abordando,1
abpa,1
abraham,3
abrange,1
abrazo,2
abraço,48
abre,1
abril,5
abrir,1
abrirei,1
abrirmos,1
abrirá,1
absorvendo,1
absorver,1
absurdas,1
abutre,1
ac,1
acaba,1
acabamos,1
acabar,2
acadêmica,1
acadêmicas,1
acadêmico,1
acarretar,1
according,1
aceitamos,1
aceleramos,1
aceleração,1
acessar,1
acessaram,1
acesse,1
acessibilidade,1
acesso,4
achar,1
acharem,1
acho,1
acidente,1
acima,11
acionistas,1
acolhimento,1
acompanha,1
acompanhada,1
acompanhado,1
acompanhando,3
acompanhar,2
acontece,2
acontecendo,2
acontecer,1
acontecimento,1
acontecimentos,2
aconteçam,2
acordada,1
acordo,14
acordos,8
acordou,1
acre,2
acreditando,2
acredito,4
acréscimo,2
acusam,2
acusando,1
acusar,1
acusações,1
adalberto,1
adesão,1
adianta,1
adiante,4
adiantou,1
adivinha,1
adjunta,1
adm,1
administrado,2
administração,4
admirável,1
admissões,1
adolescentes,1
adorados,1
adoção,1
advocacia,2
advocacia-geral,1
advogado,1
adélio,1
aeronaves,1
aeronáutica,2
aeroporto,1
aeroportos,14
aeroportuárias,2
aeroportuário,1
afastada,1
afastados,1
afeta,1
afetada,2
afetadas,1
afetados,2
afetar,1
afetará,1
afetou,1
afinco,1
afinidade,1
afora,1
age,2
agenda,8
agentes,6
agilidade,2
agilizando,1
agilizar,1
agir,2
agirem,1
agiu,1
agora,10
agostinho,1
agosto,1
agrada,1
agradece,1
agradecemos,4
agradecer,3
agradeço,15
agradou,1
agradáveis,1
agradável,2
agreguem,1
agressividade,1
agreste,2
agricultores,1
agricultura,7
agrishow,2
agronegócio,1
agrária,1
agrícola,2
agu,3
aguarda,1
aguardamos,1
aguardando,1
aguardar,1
aguardo,1
aguenta,1
agência,4
ainda,35
ajuda,6
ajudando,1
ajudar,1
ajudas,1
ajudou,1
akihito,1
al,3
alagoas,1
alavancando,1
alavancar,1
alcance,5
alcançado,1
alcançados,1
alcançamos,1
alcançaremos,1
alcoólica,1
alcântara,5
alegre,1
alemanha,3
alemão,1
alexandre,2
alfabetização,1
algo,11
algodão,1
algum,2
alguma,3
algumas,6
alguns,20
alguém,1
ali,1
alia,1
aliado,1
aliados,1
alianças,1
alimentado,1
alimentar,1
alimentação,1
alimento,1
alimentos,2
alinhados,3
alinhamento,1
aliviar,1
alma,1
almeja,3
almejamos,2
alo,1
alquimia,1
alta,4
alternativa,2
alternativas,1
alternativos,1
alto,2
altura,1
alunos,7
alvarás,1
alvo,2
alvorada,3
além,24
alívio,1
am,1
amada,2
amado,2
amadurecimento,1
aman,1
amanhã,5
amapá,1
amarras,1
amazonas,3
amazônia,1
amazônica,3
ambas,1
ambientais,1
ambiental,4
ambiente,17
ambições,1
ambos,1
ameaça,1
ameaçadas,2
ameaçava,1
america,2
american,1
americana,1
americano,2
amiga,2
amigo,3
amigos,5
amistomo,1
amizade,7
amo,1
amor,4
amp,1
amparados,1
amparo,1
ampla,1
amplamente,1
amplia,1
ampliar,4
ampliação,4
américa,7
analisado,1
analise,1
and,7
andamento,6
andanças,1
andar,2
andrej,1
andrzej,1
andré,2
animado,1
animais,1
animal,3
anime,1
animes,1
aninhos,1
anistia,1
aniversário,3
ano,31
anos,29
anseios,5
ansiosamente,1
ante,2
anterior,5
anteriores,14
anteriormente,1
antes,4
anti,1
anti-americano,1
anti-crimes,4
anti-intelectualismo,1
anticrime,5
anticrimes,1
antigo,1
antonio,1
antártica,1
anuais,1
anual,2
anulando,1
anulei,1
anuncia,2
anunciadas,1
anunciamos,1
anunciar,1
anunciarmos,1
anunciei,1
anunciou,2
análise,3
anúncio,2
ap,1
apagou,1
aparados,2
aparecem,1
aparecesse,1
aparelhadas,1
aparelhamento,1
aparelhou,1
apelo,1
apenas,17
aperfeiçoa,1
apesar,3
apex,1
aplicabilidade,2
aplicado,1
aplicados,2
aplicam,1
aplicativos,1
aplicações,1
apoiada,1
apoiado,2
apoiam,1
apoiamos,1
apoiando,1
apoiar,1
apoio,15
aponta,1
apontam,1
apontou,1
aposentadoria,2
aposentadorias,1
aposentados,2
appreciate,1
apreciada,1
apreciação,2
aprecie,1
apreendeu,1
aprender,1
aprendidos,1
aprendizes,1
apresentado,2
apresentador,1
apresentamos,1
apresentando,1
apresentar,3
apresentaremos,1
apresentação,1
apresentou,1
aprimorar,1
aprisiona,1
aprofundar,2
aprovada,2
aprovadas,1
aprovar,2
aprovação,10
aprove,2
aproveitei,1
aproveito,1
aproveitou-se,1
aprovemos,1
aprovou,1
aproxima,1
aproximadamente,1
aproximando,1
aproximações,1
aproxime,1
apurar,2
apuração,1
apurou,1
após,26
apóstolo,1
aquecendo,1
aquecer,1
aqui,8
aquicultura,4
aquisição,1
ar,4
aracaju,1
aracaju-se,1
araoz,1
araújo,2
arbitrária,1
arcaica,1
argentina,4
argentino,2
arma,2
armadas,1
armados,2
armamentistas,1
armas,6
arquimedes,1
arrecadar,1
arrendados,1
arrendamento,1
arruinar,1
arruinaram,1
artes,1
articula,1
artificiais,1
artigos,1
artista,1
artistas,2
ascensão,1
asfaltará,1
asilo,1
assaltar,1
assassinado,1
assassinato,4
assassinatos,2
assassino,3
assassinos,1
assegurar,2
assembly,1
assembléia,1
assentamentos,1
assentos,1
assessor-chefe,1
assessoria,2
assim,14
assinada,2
assinado,1
assinamos,5
assinantes,1
assinaram,1
assinaturas,1
assinei,4
assinou,1
assista,23
assistir,1
assistiram,1
assistirá,1
assistência,2
associar,1
associação,2
assola,1
assolam,1
assumed,1
assumimos,1
assumir,2
assumirá,1
assunto,3
assuntos,15
assustam,1
astronauta,1
atacadas,1
atacava,1
ataques,1
atendado,1
atende,2
atendendo,4
atender,2
atendida,1
atendidas,1
atendidos,2
atendimento,4
atendimentos,1
atentado,3
atentamente,1
atento,1
atenção,2
aterrorizada,1
aterrorizam,1
atestados,1
atingidos,2
atingindo,1
atingir,1
atingiu,2
atiradores,1
atitudes,4
atividade,1
atividades,5
ativos,2
atletismo,1
ato,2
ator,1
atos,7
atracar,1
atraindo,1
atrair,3
atrairemos,1
atrapalhado,1
atrapalham,1
atrapalhando,1
atraso,1
atrativo,1
atravessa,2
através,3
atrito,1
atrás,3
atuais,4
atual,7
atualmente,4
atuam,1
atuando,1
atuar,2
atuação,2
auditoria,2
auditorias,1
audiência,4
aula,2
aulas,1
aumenta,1
aumentado,1
aumentam,1
aumentamos,1
aumentando,2
aumentar,1
aumentará,3
aumento,10
austrália,2
ausência,1
autenticação,1
autoagridem,1
automatizado,1
automática,1
automático,1
automáticos,1
autonomia,2
autor,1
autoridade,2
autoridades,3
autoritarismo,1
autorizou,1
autódromo,1
auxiliares,1
auxílio,1
auxílio-reclusão,1
avaliada,1
avaliação,1
avancem,1
avançadas,2
avançando,5
avançar,3
avançaremos,1
avanço,4
avanços,5
aviação,2
ayrton,1
ação,8
ações,20
aérea,1
aéreas,4
aéreo,2
aéreos,4
aí,2
babis,1
back,1
bahia,2
baianos,1
baixada,1
baixar,1
baixo,1
baixos,1
balança,1
balé,1
banais,1
banco,4
bancos,2
bancário,2
banda,1
bandeira,1
bandeirantes,2
bandeiras,1
bandido,1
bandidos,3
bando,1
banzai,1
barata,1
barateamento,1
baratear,2
baratos,1
barco,1
barrado,1
barragem,2
barragens,3
barros,3
base,4
baseada,1
baseado,1
bases,1
basquete,1
bastante,1
batalhas,1
bate,1
batendo,1
bateria,1
bateu,1
battisti,4
bb,1
be,1
bebida,1
belo,3
belos,1
belém,2
bem,34
bem-estar,2
bemvindo,1
beneficia,2
beneficiando,2
beneficiaram,1
beneficiários,1
benefício,2
benefícios,8
bens,2
benéficas,1
bermudez,1
bi,7
bibi,2
big,1
bilaterais,1
bilateral,3
bilateralidade,1
bilhete,1
bilhão,2
bilhões,20
bilhões/ano,1
billy,1
bimestre,2
bini,1
biológico,1
biotecnologia,1
bispo,1
bitcoins,1
blair,1
bless,1
bloco,1
bloomberg,1
bndes,4
boa,36
boas,4
boatos,1
boechat,1
boeing,1
bogotá,1
boletim,2
boleto,1
bolivariana,2
bolsa,7
bolshoi,1
bolsonaro,47
bolsonarosp,1
bolívia,1
bom,37
bombeamento,1
bombeiros,2
bonitos,1
bons,1
borracha,1
bovinos,1
bpm,1
br,9
br-101/al,1
br-101/rj,1
brasi,1
brasil,220
brasileira,20
brasileiras,1
brasileiro,31
brasileiros,35
brasilidade,1
brasília,9
bravas,1
bravos,1
bravura,1
brazil,4
brazilian,1
braço,1
braços,2
breve,6
brevemente,1
breves,1
brigado,1
brilhante,1
brilhantes,2
bring,1
brito,1
brumadinho,6
brumadinho-mg,3
brumadinho/mg,4
burlar,1
burocracia,3
burocracias,1
busca,12
buscado,2
buscam,1
buscamos,1
buscando,4
buscar,4
buscaremos,2
buscará,1
bush,1
by,1
básicas,1
cabeceira,1
cabedelo,1
cabedelo/pb,1
cabeludo,1
cabeça,1
cabotagem,1
cabíveis,1
cacau,1
cacs,2
cada,23
cadastro,6
cadastros,1
cadeia,1
caem,1
caged,1
caindo,1
cais,1
caiu,2
caixa,5
caixas,1
calculadora,1
caldo,1
calorosa,1
cambará,1
camboriú/sc,1
camina,1
caminar,1
caminha,1
caminhando,1
caminhará,1
caminhei,1
caminho,9
caminhoneiros,3
caminhos,2
caminhão,2
caminhões,5
campanha,10
campina,3
campinorte-go,1
campo,3
canadá,4
canais,5
canal,4
canalhice,1
cancelamento,1
cancelou,1
candidatos,1
canela,1
caneta,1
canguru,1
cantor,1
canuto,1
caos,4
capacidade,3
capanema/pr,1
capilarização,1
capitais,1
capital,1
capitalismo,3
capitão,5
captação,1
captura,1
capturar,1
cara,2
caracteriza,1
caravana,1
carbono,1
carente,1
carentes,1
carga,5
cargas,1
cargo,8
cargos,5
carinho,4
carlos,1
carnaval,2
carne,4
carnes,2
caro,2
carregar,1
carrego,1
carreira,1
carreta,1
carro,1
carrregam,1
carteira,2
cartão,1
cartório,1
caráter,3
casa,10
casal,1
casamento,3
casas,3
cascavel,2
caso,15
casos,2
castello,1
castilho,1
catarina,1
catastrófica,1
catedral,1
cativante,1
catástrofe,1
causa,2
causada,1
causados,1
causar,1
causou,1
cazaquistão,1
caça,1
caçadores,1
caótica,1
ce,2
cearense,1
ceará,4
cedida,3
cedidas,1
cedo,2
cef,2
celebrava,1
celebração,1
celular,1
celulares,1
censura,1
censurar,1
centavo,1
centenas,3
central,2
centro,14
centro-oeste,3
centro-sul,1
centros,2
cenário,4
ceos,1
cerca,15
cerimônia,4
certamente,4
certeza,3
certo,5
certos,1
cervejeiro,1
cesare,1
cevada,1
cgu,1
chama,1
chamada,2
chamadas,1
chamado,3
chamam,1
chance,2
chancelamento,1
chanceler,2
chantagens,1
charge,2
chefe,3
chefes,4
chefia,1
chega,4
chegada,2
chegam,2
chegamos,2
chegando,2
chegar,2
chegará,2
chegou,3
chico,1
chile,6
chileno,1
chilenos,1
china,3
chinês,1
choque,1
choro,1
christchurch,1
chrystia,1
chuvas,3
chávez,2
chão,1
cibersegurança,1
ciclo,3
ciclone,2
cidadania,2
cidade,3
cidadã,1
cidadão,9
cidadãos,19
cientistas,1
científica,1
científicas,2
científicos,1
cifras,1
cima,1
cimento,1
cinema,1
circulação,1
cirurgia,3
cirurgias,2
cisco,1
cita,1
citadaos,1
citadas,2
citam,1
citando,1
citizens,1
civil,4
civis,2
ciência,17
ciências,2
claro,6
claros,1
classes,1
clia,1
clichês,1
clima,2
climb,1
climáticas,1
cláusulas,1
cmsp,1
cobertura,1
cobra,2
cobrados,1
cobrando,1
cobrança,3
cobrar,5
cofres,5
colaboração,1
colecionadores,1
colega,1
coleta,1
colhido,1
colocamos,1
colocando,3
colocar,3
colocaremos,1
colocação,1
colocou,1
colocou-se,1
colombia,1
colombianos,1
colonização,1
colégio,6
colômbia,4
colônia,1
comandado,1
comandante,1
comandantes,1
comando,4
combate,18
combate-los,1
combatendo,2
combater,5
combatermos,2
combustíveis,1
combustível,4
comediante,1
comemora-se,1
comemoramos,1
comemorativa,1
comendo,1
comentado,1
comentarista,1
comentou,1
comer,1
comerciais,4
comercial,6
comercializadas,1
comercialização,1
comercio,1
comestível,1
cometa,1
comete-se,1
começa,2
começam,1
começamos,1
começaram,1
começo,2
comissionados,5
comissão,2
comitê,2
companheiro,1
companheiros,2
companhia,1
companhias,2
comparado,4
comparando,1
comparar,1
comparação,2
compartilhadas,1
compartilhar,1
compensa,1
compensação,1
competente,1
competitividade,5
competição,1
complementamos,1
completamente,2
completo,1
complexo,1
complexos,1
compor,1
comporemos,1
composto,1
compra,4
comprando,1
compras,1
compreendendo,1
compreendo,1
compromisso,15
compromissos,6
comprovada,1
comprovadamente,1
comprovou,1
computadores,1
compõem,1
comum,2
comungados,1
comunicador,1
comunicação,2
comunico,3
comunidade,1
comunismo,1
comunistas,1
comércio,11
con,1
concede,1
conceder,1
concedida,2
concedidos,1
concentrado,1
concessão,2
concessões,13
conclui,1
concluir,2
concluiu,2
conclusiva,1
conclusão,2
conclusões,4
concluída,2
concorrência,2
concorrências,1
concretos,1
concursado,2
concurso,1
conde,2
conde/pa,1
condena,2
condenados,1
condenação,1
condeno,2
condensado,1
condições,8
condolências,2
conduzir,4
conectados,1
conectar,1
conexão,1
conferência,2
confessou,1
confiabilidade,5
confiante,1
confiança,17
confira,4
confirmam,1
confirmou,1
conforme,1
conforta,1
confortar,1
conforte,6
congratulazioni,1
congresso,22
conhece,1
conhecedor,1
conhecer,1
conhecereis,1
conheci,1
conhecida,2
conhecidas,1
conhecido,1
conhecimento,8
conhecimentos,1
conheça,1
conjunta,1
conjuntas,1
conjunto,5
conosco,2
conquista,3
conquistar,2
consciente,1
conscientização,2
consciência,6
conseguimos,1
conseguir,1
conseguiremos,1
conseguirão,1
conseguiu,1
conselho,4
conselhos,1
consequentemente,1
consequência,2
consequências,3
consertar,1
conservadora,1
consideración,1
consideradas,1
consideramos,1
considerando,2
considerar,1
consideravelmente,1
consideração,9
consigam,1
consigo,2
consiste,2
console,1
consolida,1
consolidados,1
consolidação,1
constantemente,1
constantes,1
constança,1
constatei,1
constitucional,1
constituir,1
constituite,1
constituição,2
constitution,1
constituídas,1
construindo,1
construir,2
construção,6
constrói,2
consultor,1
consumidor,3
consumidores,2
consumo,3
conta,6
contados,1
containers,1
contas,4
contato,2
conte,1
contem,1
contempla,1
contemplados,1
contemplar,1
conter,1
contexto,2
continente,1
contingenciamento,5
continham,1
continua,2
continuamos,2
continuar,2
continuaremos,1
continuará,1
continuarão,1
continue,1
continuem,1
continuidade,3
conto,2
contra,18
contramão,1
contrariou,1
contratadas,1
contratar,1
contratação,1
contrato,3
contratos,5
contribuindo,1
contribuinte,5
contribuintes,1
contribuição,2
controladoria,1
controladoria-geral,1
controlamos,1
controlar,1
controle,1
contrárias,1
contrário,4
contudo,1
contínua,2
conversa,5
conversado,1
conversamos,3
conversando,1
conversar,2
conversas,1
conversemos,1
conversou,1
converte,1
convicções,2
convidar,1
convido,1
convite,2
conviver,2
convocação,1
convoquei,1
conxteto,1
cooperar,1
cooperation,1
cooperação,7
cooptar,1
coordenado,1
coordenador,2
coordenados,1
coordenação,1
copacabana,1
coppead/ufrj,1
coragem,1
coração,6
corações,1
corpo,3
corporais,1
corporativa,2
corporativo,1
corredor,1
correios,1
corrente,1
correr,1
corrigida,1
corrigindo,1
corrupto,3
corruptos,2
corrupção,13
corrêa,1
cortará,1
corte,4
cortes,3
cortou,1
coréia,1
costa,2
costas,1
cotidiano,1
coube,1
country,1
court,1
covardia,1
credibilidade,3
creio,1
cresce,1
crescem,1
crescendo,4
crescer,9
cresceu,4
crescimento,14
cria,6
criada,2
criado,1
criados,2
criadouros,1
criam,1
criando,3
criança,4
crianças,5
criar,8
criaram,1
criação,2
crime,15
crimes,4
criminalidade,1
criminalização,1
criminoso,3
criminosos,4
criou,3
criptomoeda,1
crise,3
cristo,1
cristã,1
criticam,1
critério,1
critérios,2
crivo,1
crueldade,1
cruz,4
cruzeiros,2
crédito,2
crítica,1
críticos,1
csll,1
cttd,1
cuba,3
cubana,1
cubanos,1
cuhk/china,1
cuiabá,2
cuidado,2
cuidar,1
cuidaram,1
cuja,1
cujo,1
culpariam,1
cultura,5
cultural,1
culturas,1
cumpri-la,1
cumprida,4
cumprido,2
cumprimento,2
cumprimentos,2
cumprindo,5
cumprir,1
cura,1
curados,1
curriculo,1
currículo,1
curso,1
curta,1
curto,2
custando,1
custar,1
custas,1
custo,5
custos,5
custódia,1
cv,1
cybersegurança,1
câmara,5
câncer,1
célio,1
cérebro,1
césar,1
d.o.u,1
dada,1
dado,1
dados,8
damares,1
dando,5
daniel,2
danos,2
dança,1
daquele,1
daqueles,2
daqui,8
dar,9
daremos,2
data,2
datafolha,1
davam,1
davi,1
davos,8
day,2
dear,1
debate,4
debatidas,1
decidam-se,1
decide,1
decidida,1
decidimos,2
decidir,2
decidiu,1
decisivo,1
decisão,2
decisões,3
declaradamente,1
decolar,1
decorrência,1
decretamos,1
decreto,8
decretos,2
dedicando,1
defeitos,1
defende,1
defendendo,1
defender,6
defendeu,1
defendi,1
defendo,1
defensa,1
defensor,1
defensores,1
defensoria,2
defesa,14
deficientes,1
deficitária,1
deficiência,2
define,2
definiremos,1
definitiva,3
definitivamente,1
definitivo,1
definição,1
deflagrados,2
deflagrando,1
deflagrou,1
deixa,3
deixa-nos,1
deixada,1
deixadas,1
deixados,1
deixam,2
deixamos,4
deixando,1
deixar,2
deixaram,2
deixemos,1
deixou,3
delegacia,1
demais,4
demanda,4
demandas,2
demarcado,1
demissão,1
demissões,1
democracia,14
democracy,1
democrática,2
democráticas,2
demonstra,1
demoradas,1
demorado,1
demorando,1
demos,2
dentre,2
dentro,9
denunciei,1
depende,2
dependem,1
depheliolopes,1
deputado,4
deputados,5
derivados,1
derivaremos,1
derivações,3
derrota,3
derrubar,1
derrubaram,1
desabamento,1
desafia,1
desafio,2
desagradando,1
desanimá-los,1
desaparecidos,3
desaparecimento,1
desarmar,2
desarmou,1
desastre,3
desburocratizando,1
desburocratizar,4
desburocratização,5
desburocratizações,1
descansaremos,1
descanse,1
descentralizar,1
descentralização,2
descobre,1
desconfiança,1
desconfiem,1
desconforto,1
desconhecia,1
desconhecido,1
desconstrução,1
desconstruída,1
desculpas,4
desde,17
desejamos,2
desejando-lhes,1
desejar,1
desejaram,1
desejo,4
desejo-lhe,1
desemprego,2
desencadearmos,1
desencadeia,1
desenhos,1
desenvolvem,2
desenvolvemos,1
desenvolvendo,4
desenvolver,5
desenvolvidas,1
desenvolvido,1
desenvolvidos,1
desenvolvimento,31
desestabilizar,2
desfaz,1
desfazer,2
desfeitos,1
desgastar,1
desgoverno,1
desidratar,1
desinchando,1
desinchar,1
desinformado,1
desinformação,3
desinformações,2
desinteressantes,1
desistirá,1
deslocamento,1
desmantelar,1
desmatamentos,1
desmente,1
desmentida,1
desmentindo,1
desmonta,1
desmontada,1
desmotivando,1
desnecessários,2
desobstrução,1
desonestos,1
desordem,2
despachando,4
desprovida,1
desregulamentar,1
desrespeitados,1
dessa,6
dessalinização,4
dessas,2
desse,5
desses,4
desta,13
destaca,2
destacando,1
destacarmos,1
destaco,2
destacou,1
destaquei,1
deste,13
destes,4
destinados,1
destinar,2
destinará,1
destinação,1
destino,2
destinos,1
destravar,1
destravarão,1
destroem,1
destruindo,1
destruir,5
destruiu,1
destruição,1
destruída,1
destruíram,1
desumano,1
desviará,1
desvios,1
desvirtuar,1
detalhes,17
determinados,3
determinamos,1
determinar,1
determinaram,1
determinação,3
determinei,3
detrimento,3
deus,28
deva,1
devastação,1
deve,7
devedor,1
devedores,1
devem,6
devemos,4
devendo,2
dever,2
deveria,4
deverá,3
devidamente,1
devido,2
devolvemos,1
devolvê-los,1
dezembro,1
dezenas,3
df,1
dh,1
di,1
dia,63
diante,10
diariamente,2
dias,25
diesel,2
diferenciais,1
diferencial,1
diferente,4
diferentes,2
diferença,3
dificuldade,2
dificuldades,3
dificulta,1
dificultada,1
difíceis,1
difícil,5
digam,1
digitais,1
digital,1
digitalizados,1
digitalização,1
digna,1
dilma,2
diminui,1
diminuindo,1
diminuir,1
diminuição,2
dinamismo,2
dinheiro,13
diniz,1
diplomaticamente,1
direcciones,1
direcionado,1
direcionados,1
direcionamento,1
direcionamentos,1
direito,5
direitos,10
diretamente,3
direto,1
diretor,2
diretor-geral,1
diretos,1
diretrizes,3
direção,5
direções,1
dirá,1
dirão,1
discriminação,1
discursa,1
discursam,1
discurso,5
discutem,1
discuti-la,1
discutida,1
discutimos,1
dispensas,1
dispersão,1
disponibilizados,2
disponíveis,1
disponível,3
dispositivos,1
disposição,2
disposto,1
dispõem,1
disse,3
dissemos,2
disseram,1
disso,5
distante,1
distinção,1
disto,1
distorcer,1
distorcidas,1
distorções,1
distribuição,1
distribuída,1
distrito,1
distância,1
ditador,1
ditadura,4
ditaduras,2
dito,3
diversas,2
diversidade,1
diversificar,1
diversos,1
divide,1
dividendos,2
divididas,1
divididos,1
dividir,1
dividiu,1
divisão,2
divulga,3
divulgado,2
divulgados,5
divulgando,1
divulgação,2
diz,2
dizem,3
dizer,1
diálogo,2
diária,3
diárias,2
diário,1
doce,1
docente,1
documento,1
documentos,5
doenças,1
dois,11
dominação,1
domingo,5
doméstico,1
domésticos,1
donos,1
doou,1
dor,1
dorsal,2
dou,1
doutor,2
doutrinado,1
doutrinar,1
doutrinação,2
drasticamente,1
droga,1
drogas,4
duas,5
duda,2
duplicado,1
duplicação,1
duque,2
dura,1
duramente,1
